Word,Count,Count_per_million,Log_freq,
abandones,120,2.884615385,2.08278537,
abandono,216,5.192307692,2.336459734,
abandon—,709,17.04326923,2.851258349,
abandonos,2,0.048076923,0.477121255,
abanica,7,0.168269231,0.903089987,
aban’calo,2,0.048076923,0.477121255,
aban’came,4,0.096153846,0.698970004,
abanican,2,0.048076923,0.477121255,
abanicando,2,0.048076923,0.477121255,
abanicar,7,0.168269231,0.903089987,
abanicaste,2,0.048076923,0.477121255,
abanico,43,1.033653846,1.643452676,
abanicos,6,0.144230769,0.84509804,
abaniques,6,0.144230769,0.84509804,
abaratas,2,0.048076923,0.477121255,
abarat—,3,0.072115385,0.602059991,
abarca,52,1.25,1.72427587,
abarcaba,2,0.048076923,0.477121255,
abarcado,3,0.072115385,0.602059991,
abarcando,3,0.072115385,0.602059991,
abarcar,17,0.408653846,1.255272505,
abarcar‡n,2,0.048076923,0.477121255,
abarcarlo,2,0.048076923,0.477121255,
abarque,7,0.168269231,0.903089987,
abarrota,2,0.048076923,0.477121255,
abarrotada,8,0.192307692,0.954242509,
abarrotadas,3,0.072115385,0.602059991,
abarrotado,25,0.600961538,1.414973348,
abarrotar,3,0.072115385,0.602059991,
abarrotes,14,0.336538462,1.176091259,
abastece,14,0.336538462,1.176091259,
abastecedor,9,0.216346154,1,
abastecedores,3,0.072115385,0.602059991,
abastecen,6,0.144230769,0.84509804,
abastecer,26,0.625,1.431363764,
abastecer’a,2,0.048076923,0.477121255,
abastecernos,6,0.144230769,0.84509804,
abastec’a,5,0.120192308,0.77815125,
abastecido,6,0.144230769,0.84509804,
abasteciendo,5,0.120192308,0.77815125,
abastecimiento,41,0.985576923,1.62324929,
abastecimientos,2,0.048076923,0.477121255,
abasteci—,5,0.120192308,0.77815125,
abaten,4,0.096153846,0.698970004,
abat’,2,0.048076923,0.477121255,
abatida,32,0.769230769,1.51851394,
abatidas,2,0.048076923,0.477121255,
abatido,79,1.899038462,1.903089987,
abatidos,17,0.408653846,1.255272505,
abatimiento,8,0.192307692,0.954242509,
abati—,4,0.096153846,0.698970004,
abatir,6,0.144230769,0.84509804,
abatir‡n,2,0.048076923,0.477121255,
abatiremos,2,0.048076923,0.477121255,
abatirnos,2,0.048076923,0.477121255,
abdica,2,0.048076923,0.477121255,
abdicaci—n,6,0.144230769,0.84509804,
abdicado,6,0.144230769,0.84509804,
abdicar,3,0.072115385,0.602059991,
abdico,2,0.048076923,0.477121255,
abdomen,159,3.822115385,2.204119983,
abd—menes,4,0.096153846,0.698970004,
abdominal,104,2.5,2.021189299,
abdominales,173,4.158653846,2.240549248,
abdominoplastia,2,0.048076923,0.477121255,
abducci—n,56,1.346153846,1.755874856,
abducciones,36,0.865384615,1.568201724,
abducida,31,0.745192308,1.505149978,
abducidas,25,0.600961538,1.414973348,
abducido,36,0.865384615,1.568201724,
abducidos,40,0.961538462,1.612783857,
abdujeron,5,0.120192308,0.77815125,
abdujo,7,0.168269231,0.903089987,
abecedario,15,0.360576923,1.204119983,
abedul,14,0.336538462,1.176091259,
abedules,6,0.144230769,0.84509804,
abeja,311,7.475961538,2.494154594,
abejas,373,8.966346154,2.572871602,
abejita,21,0.504807692,1.342422681,
abejitas,2,0.048076923,0.477121255,
abejorro,25,0.600961538,1.414973348,
abejorros,5,0.120192308,0.77815125,
abelardo,22,0.528846154,1.361727836,
aberraci—n,38,0.913461538,1.591064607,
aberraciones,12,0.288461538,1.113943352,
aberrante,21,0.504807692,1.342422681,
aberrantes,6,0.144230769,0.84509804,
abertura,71,1.706730769,1.857332496,
aberturas,18,0.432692308,1.278753601,
abeto,24,0.576923077,1.397940009,
abetos,6,0.144230769,0.84509804,
abierta,1844,44.32692308,3.26599637,
abiertamente,153,3.677884615,2.187520721,
abiertas,337,8.100961538,2.5289167,
abierto,1881,45.21634615,3.274619619,
abiertos,638,15.33653846,2.805500858,
abismal,13,0.3125,1.146128036,
abismo,169,4.0625,2.230448921,
abismos,5,0.120192308,0.77815125,
ablaci—n,8,0.192307692,0.954242509,
ablanda,18,0.432692308,1.278753601,
ablandaban,2,0.048076923,0.477121255,
ablandado,21,0.504807692,1.342422681,
ablandador,4,0.096153846,0.698970004,
ablandadores,2,0.048076923,0.477121255,
ablandan,3,0.072115385,0.602059991,
ablandando,37,0.889423077,1.579783597,
ablandar,18,0.432692308,1.278753601,
ablandar’a,4,0.096153846,0.698970004,
ablandarla,7,0.168269231,0.903089987,
ablandarlo,5,0.120192308,0.77815125,
ablandarlos,3,0.072115385,0.602059991,
ablandarme,3,0.072115385,0.602059991,
ablandarse,3,0.072115385,0.602059991,
ablandarte,2,0.048076923,0.477121255,
ablandas,2,0.048076923,0.477121255,
ablandase,2,0.048076923,0.477121255,
ablandaste,8,0.192307692,0.954242509,
ablande,11,0.264423077,1.079181246,
ablandŽ,2,0.048076923,0.477121255,
ablanden,2,0.048076923,0.477121255,
ablandes,11,0.264423077,1.079181246,
abland—,12,0.288461538,1.113943352,
abnegaci—n,9,0.216346154,1,
abnegada,5,0.120192308,0.77815125,
abnegado,8,0.192307692,0.954242509,
abocado,2,0.048076923,0.477121255,
abocarnos,3,0.072115385,0.602059991,
abochornada,5,0.120192308,0.77815125,
abochornado,4,0.096153846,0.698970004,
abofeteada,3,0.072115385,0.602059991,
abofeteado,10,0.240384615,1.041392685,
abofetŽame,3,0.072115385,0.602059991,
abofetean,2,0.048076923,0.477121255,
abofeteando,2,0.048076923,0.477121255,
abofetear,33,0.793269231,1.531478917,
abofeteara,2,0.048076923,0.477121255,
abofetear‡,3,0.072115385,0.602059991,
abofetearan,2,0.048076923,0.477121255,
abofetearŽ,2,0.048076923,0.477121255,
abofetearme,14,0.336538462,1.176091259,
abofetearte,14,0.336538462,1.176091259,
abofeteas,4,0.096153846,0.698970004,
abofeteaste,6,0.144230769,0.84509804,
abofetee,11,0.264423077,1.079181246,
abofete—,29,0.697115385,1.477121255,
aboga,8,0.192307692,0.954242509,
abogaba,2,0.048076923,0.477121255,
abogac’a,78,1.875,1.897627091,
abogada,688,16.53846154,2.838219222,
abogadas,19,0.456730769,1.301029996,
abogado,4988,119.9038462,3.698013504,
abogados,1344,32.30769231,3.128722284,
abogan,2,0.048076923,0.477121255,
abogar,9,0.216346154,1,
abogo,4,0.096153846,0.698970004,
abog—,3,0.072115385,0.602059991,
abolicionista,4,0.096153846,0.698970004,
abolicionistas,2,0.048076923,0.477121255,
abolida,6,0.144230769,0.84509804,
abolido,5,0.120192308,0.77815125,
abolieron,3,0.072115385,0.602059991,
aboli—,2,0.048076923,0.477121255,
abolir,25,0.600961538,1.414973348,
abollado,15,0.360576923,1.204119983,
abolladura,40,0.961538462,1.612783857,
abolladuras,16,0.384615385,1.230448921,
abollar,6,0.144230769,0.84509804,
abollarla,2,0.048076923,0.477121255,
abolle,4,0.096153846,0.698970004,
abollŽ,2,0.048076923,0.477121255,
aboll—,10,0.240384615,1.041392685,
aboll—n,3,0.072115385,0.602059991,
abomban,2,0.048076923,0.477121255,
abominable,49,1.177884615,1.698970004,
abominablemente,3,0.072115385,0.602059991,
abominables,13,0.3125,1.146128036,
abominaci—n,65,1.5625,1.819543936,
abominaciones,17,0.408653846,1.255272505,
abonada,3,0.072115385,0.602059991,
abonado,11,0.264423077,1.079181246,
abonar,18,0.432692308,1.278753601,
abonar‡,2,0.048076923,0.477121255,
abonarse,2,0.048076923,0.477121255,
abono,85,2.043269231,1.934498451,
abonos,7,0.168269231,0.903089987,
aborda,14,0.336538462,1.176091259,
abordaban,4,0.096153846,0.698970004,
abordado,16,0.384615385,1.230448921,
abordados,18,0.432692308,1.278753601,
abordaje,30,0.721153846,1.491361694,
abordamos,12,0.288461538,1.113943352,
abordan,4,0.096153846,0.698970004,
abordando,75,1.802884615,1.880813592,
abord‡ndola,2,0.048076923,0.477121255,
abordar,178,4.278846154,2.252853031,
abordara,2,0.048076923,0.477121255,
abordar‡,7,0.168269231,0.903089987,
abord‡ramos,2,0.048076923,0.477121255,
abordar‡n,6,0.144230769,0.84509804,
abordarŽ,2,0.048076923,0.477121255,
abordar’a,2,0.048076923,0.477121255,
abordar’an,3,0.072115385,0.602059991,
abordarlo,13,0.3125,1.146128036,
abordarlos,5,0.120192308,0.77815125,
abordarme,2,0.048076923,0.477121255,
abordarnos,2,0.048076923,0.477121255,
abordaron,19,0.456730769,1.301029996,
abordarte,5,0.120192308,0.77815125,
abordas,4,0.096153846,0.698970004,
abordaste,6,0.144230769,0.84509804,
aborde,3,0.072115385,0.602059991,
abordŽ,6,0.144230769,0.84509804,
abordemos,7,0.168269231,0.903089987,
aborden,21,0.504807692,1.342422681,
abordo,120,2.884615385,2.08278537,
abord—,48,1.153846154,1.69019608,
aborigen,29,0.697115385,1.477121255,
abor’genes,39,0.9375,1.602059991,
aborrece,17,0.408653846,1.255272505,
aborrecedores,2,0.048076923,0.477121255,
aborrecen,9,0.216346154,1,
aborrecer,3,0.072115385,0.602059991,
aborrecerme,3,0.072115385,0.602059991,
aborreces,3,0.072115385,0.602059991,
aborrecible,9,0.216346154,1,
aborrecido,3,0.072115385,0.602059991,
aborrecidos,2,0.048076923,0.477121255,
aborrezco,25,0.600961538,1.414973348,
aborta,41,0.985576923,1.62324929,
abortada,7,0.168269231,0.903089987,
abortado,32,0.769230769,1.51851394,
abortados,3,0.072115385,0.602059991,
ab—rtalo,2,0.048076923,0.477121255,
abortamos,10,0.240384615,1.041392685,
abortando,12,0.288461538,1.113943352,
abortar,140,3.365384615,2.149219113,
abortara,9,0.216346154,1,
abortar‡n,2,0.048076923,0.477121255,
abortaremos,5,0.120192308,0.77815125,
abortar’a,2,0.048076923,0.477121255,
abortarla,2,0.048076923,0.477121255,
abortarlo,6,0.144230769,0.84509804,
aborte,21,0.504807692,1.342422681,
abortŽ,10,0.240384615,1.041392685,
abortemos,5,0.120192308,0.77815125,
aborten,59,1.418269231,1.77815125,
ab—rtenlo,4,0.096153846,0.698970004,
abortistas,3,0.072115385,0.602059991,
abortiva,4,0.096153846,0.698970004,
abortivas,2,0.048076923,0.477121255,
aborto,324,7.788461538,2.511883361,
abort—,8,0.192307692,0.954242509,
abortos,65,1.5625,1.819543936,
abotinados,2,0.048076923,0.477121255,
abotonada,4,0.096153846,0.698970004,
abotonado,2,0.048076923,0.477121255,
abotonados,5,0.120192308,0.77815125,
abotonando,2,0.048076923,0.477121255,
abotonarla,3,0.072115385,0.602059991,
abotonarlo,2,0.048076923,0.477121255,
abotonarme,2,0.048076923,0.477121255,
abot—nate,5,0.120192308,0.77815125,
abot—nese,3,0.072115385,0.602059991,
abotono,2,0.048076923,0.477121255,
abovedado,2,0.048076923,0.477121255,
abovedados,3,0.072115385,0.602059991,
abra,1099,26.41826923,3.041392685,
abracadabra,45,1.081730769,1.662757832,
abrace,33,0.793269231,1.531478917,
abracŽ,39,0.9375,1.602059991,
abr‡celo,2,0.048076923,0.477121255,
abracŽmonos,2,0.048076923,0.477121255,
abracemos,3,0.072115385,0.602059991,
abracen,25,0.600961538,1.414973348,
abraces,28,0.673076923,1.462397998,
abracito,3,0.072115385,0.602059991,
abraham,221,5.3125,2.346352974,
‡brala,10,0.240384615,1.041392685,
‡bralo,7,0.168269231,0.903089987,
‡brame,3,0.072115385,0.602059991,
abr‡monos,2,0.048076923,0.477121255,
abramos,81,1.947115385,1.913813852,
abr‡moslo,10,0.240384615,1.041392685,
abran,1161,27.90865385,3.065206128,
‡branla,11,0.264423077,1.079181246,
‡branlas,4,0.096153846,0.698970004,
‡branlo,9,0.216346154,1,
‡branlos,2,0.048076923,0.477121255,
‡branme,3,0.072115385,0.602059991,
‡branse,3,0.072115385,0.602059991,
abras,348,8.365384615,2.542825427,
abrasador,16,0.384615385,1.230448921,
abrasadora,4,0.096153846,0.698970004,
abrasados,3,0.072115385,0.602059991,
abrasar,3,0.072115385,0.602059991,
abrasar‡,3,0.072115385,0.602059991,
abrasi—n,13,0.3125,1.146128036,
abrasiones,22,0.528846154,1.361727836,
abrasiva,3,0.072115385,0.602059991,
abrasivas,2,0.048076923,0.477121255,
abrasivo,7,0.168269231,0.903089987,
abrasivos,6,0.144230769,0.84509804,
abraza,125,3.004807692,2.100370545,
abrazaba,20,0.480769231,1.322219295,
abrazaban,6,0.144230769,0.84509804,
abrazabas,7,0.168269231,0.903089987,
abrazable,5,0.120192308,0.77815125,
abrazada,11,0.264423077,1.079181246,
abrazadas,4,0.096153846,0.698970004,
abrazadera,20,0.480769231,1.322219295,
abrazaderas,8,0.192307692,0.954242509,
abrazado,26,0.625,1.431363764,
abrazados,26,0.625,1.431363764,
abr‡zala,21,0.504807692,1.342422681,
abr‡zalo,10,0.240384615,1.041392685,
abr‡zame,168,4.038461538,2.227886705,
abrazamos,37,0.889423077,1.579783597,
abrazan,44,1.057692308,1.653212514,
abrazando,67,1.610576923,1.832508913,
abraz‡ndola,5,0.120192308,0.77815125,
abraz‡ndolo,3,0.072115385,0.602059991,
abraz‡ndome,5,0.120192308,0.77815125,
abraz‡ndonos,4,0.096153846,0.698970004,
abraz‡ndose,8,0.192307692,0.954242509,
abrazar,151,3.629807692,2.181843588,
abrazara,12,0.288461538,1.113943352,
abrazaran,2,0.048076923,0.477121255,
abrazar‡s,5,0.120192308,0.77815125,
abrazarŽ,15,0.360576923,1.204119983,
abrazaremos,7,0.168269231,0.903089987,
abrazar’a,8,0.192307692,0.954242509,
abrazar’as,3,0.072115385,0.602059991,
abrazarla,21,0.504807692,1.342422681,
abrazarlas,2,0.048076923,0.477121255,
abrazarlo,37,0.889423077,1.579783597,
abrazarlos,15,0.360576923,1.204119983,
abrazarme,60,1.442307692,1.785329835,
abrazarnos,22,0.528846154,1.361727836,
abrazaron,6,0.144230769,0.84509804,
abrazarse,24,0.576923077,1.397940009,
abrazarte,90,2.163461538,1.959041392,
abrazas,37,0.889423077,1.579783597,
abrazaste,31,0.745192308,1.505149978,
abr‡zate,3,0.072115385,0.602059991,
abrazŽmosnos,2,0.048076923,0.477121255,
abrazo,840,20.19230769,2.924795996,
abraz—,68,1.634615385,1.838849091,
abrazos,192,4.615384615,2.285557309,
abre,17,0.408653846,1.255272505,
abrecartas,15,0.360576923,1.204119983,
abref‡cil,2,0.048076923,0.477121255,
‡brela,78,1.875,1.897627091,
‡brelas,4,0.096153846,0.698970004,
abrelatas,70,1.682692308,1.851258349,
‡brele,6,0.144230769,0.84509804,
‡brelo,109,2.620192308,2.041392685,
‡brelos,21,0.504807692,1.342422681,
‡breme,22,0.528846154,1.361727836,
‡bremelo,3,0.072115385,0.602059991,
abren,240,5.769230769,2.382017043,
‡brenos,2,0.048076923,0.477121255,
abres,304,7.307692308,2.484299839,
‡brete,25,0.600961538,1.414973348,
abrevadero,12,0.288461538,1.113943352,
abreviaci—n,12,0.288461538,1.113943352,
abreviando,4,0.096153846,0.698970004,
abreviar,19,0.456730769,1.301029996,
abreviatura,20,0.480769231,1.322219295,
abreviaturas,2,0.048076923,0.477121255,
abr’,438,10.52884615,2.64246452,
abr’a,93,2.235576923,1.973127854,
abr’amos,4,0.096153846,0.698970004,
abr’an,15,0.360576923,1.204119983,
abr’as,20,0.480769231,1.322219295,
abrid,24,0.576923077,1.397940009,
abridor,20,0.480769231,1.322219295,
abridores,5,0.120192308,0.77815125,
abriendo,287,6.899038462,2.459392488,
abriŽndola,2,0.048076923,0.477121255,
abriŽndole,4,0.096153846,0.698970004,
abriŽndolo,4,0.096153846,0.698970004,
abriŽndome,7,0.168269231,0.903089987,
abriŽndonos,5,0.120192308,0.77815125,
abriŽndose,52,1.25,1.72427587,
abriŽndote,3,0.072115385,0.602059991,
abriera,89,2.139423077,1.954242509,
abrieran,24,0.576923077,1.397940009,
abrieras,48,1.153846154,1.69019608,
abrieron,228,5.480769231,2.359835482,
abriese,5,0.120192308,0.77815125,
abriŽsemos,2,0.048076923,0.477121255,
abriga,10,0.240384615,1.041392685,
abrigada,40,0.961538462,1.612783857,
abrigado,30,0.721153846,1.491361694,
abrigados,6,0.144230769,0.84509804,
abrigamos,4,0.096153846,0.698970004,
abrigan,2,0.048076923,0.477121255,
abrigar,8,0.192307692,0.954242509,
abrigarme,2,0.048076923,0.477121255,
abrigarse,3,0.072115385,0.602059991,
abrigarte,6,0.144230769,0.84509804,
abrigas,2,0.048076923,0.477121255,
abr’gate,19,0.456730769,1.301029996,
abrigo,1054,25.33653846,3.02325246,
abrigos,151,3.629807692,2.181843588,
abrigue,7,0.168269231,0.903089987,
abr’guense,4,0.096153846,0.698970004,
abril,593,14.25480769,2.773786445,
abrillantado,2,0.048076923,0.477121255,
abrillantador,3,0.072115385,0.602059991,
abrillantan,2,0.048076923,0.477121255,
abrillantar,2,0.048076923,0.477121255,
abrillantas,2,0.048076923,0.477121255,
abrimos,283,6.802884615,2.45331834,
abri—,793,19.0625,2.899820502,
abrir,2673,64.25480769,3.427161403,
abrir‡,176,4.230769231,2.247973266,
abrir‡n,78,1.875,1.897627091,
abrir‡s,37,0.889423077,1.579783597,
abrirŽ,240,5.769230769,2.382017043,
abriremos,106,2.548076923,2.029383778,
abrir’a,37,0.889423077,1.579783597,
abrir’amos,2,0.048076923,0.477121255,
abrir’an,4,0.096153846,0.698970004,
abrirla,224,5.384615385,2.352182518,
abrirlas,20,0.480769231,1.322219295,
abrirle,90,2.163461538,1.959041392,
abrirles,12,0.288461538,1.113943352,
abrirlo,234,5.625,2.371067862,
abrirlos,48,1.153846154,1.69019608,
abrirme,95,2.283653846,1.982271233,
abr’rmelos,2,0.048076923,0.477121255,
abrirnos,34,0.817307692,1.544068044,
abrirse,148,3.557692308,2.173186268,
abrirte,94,2.259615385,1.977723605,
abriste,170,4.086538462,2.23299611,
abro,358,8.605769231,2.555094449,
abrochaba,3,0.072115385,0.602059991,
abrochada,3,0.072115385,0.602059991,
abrochados,10,0.240384615,1.041392685,
abr—chame,8,0.192307692,0.954242509,
abrochan,3,0.072115385,0.602059991,
abrochar,17,0.408653846,1.255272505,
abrocharŽ,4,0.096153846,0.698970004,
abrocharlos,2,0.048076923,0.477121255,
abrocharse,8,0.192307692,0.954242509,
abrocharte,5,0.120192308,0.77815125,
abrochas,2,0.048076923,0.477121255,
abrochaste,3,0.072115385,0.602059991,
abr—chate,60,1.442307692,1.785329835,
abroche,4,0.096153846,0.698970004,
abrochemos,3,0.072115385,0.602059991,
abrochen,16,0.384615385,1.230448921,
abr—chense,37,0.889423077,1.579783597,
abroches,3,0.072115385,0.602059991,
abr—chese,14,0.336538462,1.176091259,
abruma,32,0.769230769,1.51851394,
abrumaba,2,0.048076923,0.477121255,
abrumada,69,1.658653846,1.84509804,
abrumadas,4,0.096153846,0.698970004,
abrumado,84,2.019230769,1.929418926,
abrumador,88,2.115384615,1.949390007,
abrumadora,64,1.538461538,1.812913357,
abrumadoras,16,0.384615385,1.230448921,
abrumadores,7,0.168269231,0.903089987,
abrumados,14,0.336538462,1.176091259,
abruman,11,0.264423077,1.079181246,
abrumante,4,0.096153846,0.698970004,
abrumar,7,0.168269231,0.903089987,
abrumaron,5,0.120192308,0.77815125,
abrumarte,7,0.168269231,0.903089987,
abrum—,9,0.216346154,1,
abrupta,27,0.649038462,1.447158031,
abruptamente,37,0.889423077,1.579783597,
abrupto,31,0.745192308,1.505149978,
absceso,44,1.057692308,1.653212514,
abscesos,10,0.240384615,1.041392685,
absoluci—n,69,1.658653846,1.84509804,
absolutamente,2409,57.90865385,3.382017043,
absolutas,10,0.240384615,1.041392685,
absolutismo,2,0.048076923,0.477121255,
absoluto,1523,36.61057692,3.182984967,
absolutos,15,0.360576923,1.204119983,
absolver,19,0.456730769,1.301029996,
absolverla,2,0.048076923,0.477121255,
absolverlo,8,0.192307692,0.954242509,
absolverme,3,0.072115385,0.602059991,
absolverte,5,0.120192308,0.77815125,
absolvieron,22,0.528846154,1.361727836,
absolvi—,10,0.240384615,1.041392685,
absorba,20,0.480769231,1.322219295,
absorban,6,0.144230769,0.84509804,
absorbas,4,0.096153846,0.698970004,
absorbe,75,1.802884615,1.880813592,
absorben,30,0.721153846,1.491361694,
absorbente,20,0.480769231,1.322219295,
absorber,79,1.899038462,1.903089987,
absorber‡,14,0.336538462,1.176091259,
absorber‡n,2,0.048076923,0.477121255,
absorberŽ,3,0.072115385,0.602059991,
absorber’a,4,0.096153846,0.698970004,
absorberla,2,0.048076923,0.477121255,
absorberlo,6,0.144230769,0.84509804,
absorberlos,6,0.144230769,0.84509804,
absorbes,5,0.120192308,0.77815125,
absorb’,6,0.144230769,0.84509804,
absorbida,22,0.528846154,1.361727836,
absorbidas,6,0.144230769,0.84509804,
absorbido,34,0.817307692,1.544068044,
absorbidos,10,0.240384615,1.041392685,
absorbiendo,33,0.793269231,1.531478917,
absorbiŽndolo,2,0.048076923,0.477121255,
absorbiera,2,0.048076923,0.477121255,
absorbieran,2,0.048076923,0.477121255,
absorbieron,8,0.192307692,0.954242509,
absorbi—,24,0.576923077,1.397940009,
absorbiste,3,0.072115385,0.602059991,
absorbo,7,0.168269231,0.903089987,
absorci—n,24,0.576923077,1.397940009,
absorta,9,0.216346154,1,
absorto,23,0.552884615,1.380211242,
absortos,6,0.144230769,0.84509804,
abstemia,3,0.072115385,0.602059991,
abstemio,13,0.3125,1.146128036,
abstenci—n,6,0.144230769,0.84509804,
abstendr‡,2,0.048076923,0.477121255,
abstendr‡n,2,0.048076923,0.477121255,
abstendrŽ,3,0.072115385,0.602059991,
abstenemos,2,0.048076923,0.477121255,
abstenerme,8,0.192307692,0.954242509,
abstenernos,2,0.048076923,0.477121255,
abstenerse,13,0.3125,1.146128036,
abstenerte,2,0.048076923,0.477121255,
abstenga,5,0.120192308,0.77815125,
abstŽngase,3,0.072115385,0.602059991,
abstengo,2,0.048076923,0.477121255,
abstente,2,0.048076923,0.477121255,
abstiene,8,0.192307692,0.954242509,
abstienen,5,0.120192308,0.77815125,
abstinencia,148,3.557692308,2.173186268,
abstinente,3,0.072115385,0.602059991,
abstracci—n,9,0.216346154,1,
abstracciones,5,0.120192308,0.77815125,
abstracta,19,0.456730769,1.301029996,
abstractas,12,0.288461538,1.113943352,
abstracto,63,1.514423077,1.806179974,
abstractos,10,0.240384615,1.041392685,
abstraerse,2,0.048076923,0.477121255,
abstra’do,10,0.240384615,1.041392685,
abstraigo,2,0.048076923,0.477121255,
abstuve,4,0.096153846,0.698970004,
abstuvo,2,0.048076923,0.477121255,
absuelta,12,0.288461538,1.113943352,
absueltas,2,0.048076923,0.477121255,
absuelto,69,1.658653846,1.84509804,
absueltos,13,0.3125,1.146128036,
absuelva,9,0.216346154,1,
absuŽlvame,3,0.072115385,0.602059991,
absuelvan,7,0.168269231,0.903089987,
absuelve,16,0.384615385,1.230448921,
absuelven,3,0.072115385,0.602059991,
absuelves,2,0.048076923,0.477121255,
absuelvo,11,0.264423077,1.079181246,
absurda,130,3.125,2.117271296,
absurdamente,10,0.240384615,1.041392685,
absurdas,52,1.25,1.72427587,
absurdeces,2,0.048076923,0.477121255,
absurdo,646,15.52884615,2.810904281,
absurdos,23,0.552884615,1.380211242,
abuchea,3,0.072115385,0.602059991,
abucheado,3,0.072115385,0.602059991,
abucheador,2,0.048076923,0.477121255,
abucheando,3,0.072115385,0.602059991,
abuchearon,2,0.048076923,0.477121255,
abuchearte,2,0.048076923,0.477121255,
abucheaste,2,0.048076923,0.477121255,
abucheen,2,0.048076923,0.477121255,
abucheo,3,0.072115385,0.602059991,
abucheos,15,0.360576923,1.204119983,
abuela,4402,105.8173077,3.643748685,
abuelas,70,1.682692308,1.851258349,
abuelita,320,7.692307692,2.506505032,
abuelito,103,2.475961538,2.017033339,
abuelitos,6,0.144230769,0.84509804,
abuelo,3278,78.79807692,3.515741417,
abuelos,353,8.485576923,2.549003262,
abultada,15,0.360576923,1.204119983,
abultadas,6,0.144230769,0.84509804,
abultado,17,0.408653846,1.255272505,
abultados,6,0.144230769,0.84509804,
abunda,23,0.552884615,1.380211242,
abundan,32,0.769230769,1.51851394,
abundancia,112,2.692307692,2.053078443,
abundando,3,0.072115385,0.602059991,
abundante,88,2.115384615,1.949390007,
abundantemente,10,0.240384615,1.041392685,
abundantes,23,0.552884615,1.380211242,
aburguesada,2,0.048076923,0.477121255,
aburra,16,0.384615385,1.230448921,
abœrrame,2,0.048076923,0.477121255,
aburras,18,0.432692308,1.278753601,
aburre,137,3.293269231,2.139879086,
aburren,29,0.697115385,1.477121255,
aburres,53,1.274038462,1.73239376,
abœrrete,2,0.048076923,0.477121255,
aburr’,37,0.889423077,1.579783597,
aburr’a,18,0.432692308,1.278753601,
aburr’an,3,0.072115385,0.602059991,
aburr’as,2,0.048076923,0.477121255,
aburrida,620,14.90384615,2.7930916,
