,Word,CompCnt,PhonDISC,SylCnt,num_phones,num_sylls_est,remove,num_homophones,log_prob,surprisal
49,Abblendlicht,2,&pblEntlIxt,3,11,3,False,0,-9.014290363729893,9.014290363729893
50,abblitzen,2,&pblI=@n,3,8,3,False,0,-5.7218656638380985,5.7218656638380985
51,abblocken,2,&pblOk@n,3,8,3,False,0,-6.644316160252419,6.644316160252419
52,Abbrand,2,&pbr&nt,2,7,2,False,0,-5.342569117222039,5.342569117222039
53,Abbraendler,2,&pbrEntl@r,3,10,3,False,0,-8.90105200457835,8.90105200457835
54,abbrechen,2,&pbrEx@n,3,8,3,False,0,-5.250361915160979,5.250361915160979
55,abbremsen,2,&pbrEmz@n,3,9,3,False,0,-5.591845195295195,5.591845195295195
56,abbrennen,2,&pbrEn@n,3,8,3,False,0,-4.8765843541092115,4.8765843541092115
57,Abbreviation,2,&brevi&=ion,6,11,6,False,0,-6.000731915293103,6.000731915293103
58,Abbreviatur,2,&brevi&tur,5,10,5,False,0,-6.588226434602103,6.588226434602103
59,abbreviieren,2,&breviir@n,5,10,5,False,0,-6.190037455001899,6.190037455001899
60,abbringen,2,&pbrIN@n,3,8,3,False,0,-5.1556828481144965,5.1556828481144965
61,abbroeckeln,2,&pbr/k@ln,3,9,3,False,0,-5.060572280545477,5.060572280545477
62,Abbroeckelung,2,&pbr/k@lUN,4,10,4,False,0,-5.690586097686243,5.690586097686243
63,Abbruch,1,&pbrUx,2,6,2,False,0,-4.422959469414997,4.422959469414997
64,Abbrucharbeit,2,&pbrUx&rbWt,4,11,4,False,0,-7.0415042002690855,7.0415042002690855
65,abbruchreif,2,&pbrUxrWf,3,9,3,False,0,-6.165179896383104,6.165179896383104
66,abbruehen,2,&pbry@n,3,7,3,False,0,-5.434114017692453,5.434114017692453
67,abbuchen,2,&pbux@n,3,7,3,False,0,-5.507574395028831,5.507574395028831
68,abbuersten,2,&pbYrst@n,3,9,3,False,0,-5.940067758135752,5.940067758135752
69,abchangieren,2,&pSqZir@n,4,9,4,False,0,-5.451832255964116,5.451832255964116
70,abchecken,2,&pJEk@n,3,7,3,False,0,-5.570462425727574,5.570462425727574
71,abdachen,2,&pd&x@n,3,7,3,False,0,-5.371977425318516,5.371977425318516
72,Abdachung,2,&pd&xUN,3,7,3,False,0,-5.354243388776437,5.354243388776437
73,abdampfen,2,&pd&m8@n,3,8,3,False,0,-4.924177247215132,4.924177247215132
74,abdaempfen,2,&pdEm8@n,3,8,3,False,0,-5.7175386187689,5.7175386187689
75,Abdampf,1,&pd&m8,2,6,2,False,0,-4.942388553356717,4.942388553356717
76,Abdampfwaerme,2,&pd&m8vErm@,4,11,4,False,0,-7.206255866284148,7.206255866284148
77,abdanken,2,&pd&Nk@n,3,8,3,False,0,-5.177727934456362,5.177727934456362
78,Abdankung,2,&pd&NkUN,3,8,3,False,0,-6.120644381766753,6.120644381766753
79,abdecken,2,&pdEk@n,3,7,3,False,0,-5.003014425201925,5.003014425201925
80,Abdecker,2,&pdEk@r,3,7,3,False,0,-5.364505923663221,5.364505923663221
81,Abdeckerei,2,&pdEk@rW,4,8,4,False,0,-5.955013589270271,5.955013589270271
82,Abdeckung,2,&pdEkUN,3,7,3,False,0,-5.052486834194127,5.052486834194127
83,Abderit,1,&pderit,3,7,3,False,0,-5.90244374323559,5.90244374323559
84,abderitisch,2,&pderitIS,4,9,4,False,0,-6.284095265607761,6.284095265607761
85,abdichten,2,&pdIxt@n,3,8,3,False,0,-5.84393257257097,5.84393257257097
86,Abdichtung,2,&pdIxtUN,3,8,3,False,0,-5.632738461931436,5.632738461931436
87,Abdikation,2,&pdik&=ion,5,10,5,False,0,-5.72207103019118,5.72207103019118
88,abdingen,2,&pdIN@n,3,7,3,False,0,-5.385121857374263,5.385121857374263
89,abdingbar,2,&pdINbar,3,8,3,False,0,-4.777263460157212,4.777263460157212
90,Abdomen,0,&pdom@n,3,7,3,False,0,-5.341901015210889,5.341901015210889
91,abdominal,2,&pdominal,4,9,4,False,0,-6.270737426710211,6.270737426710211
92,abdorren,2,&pdOr@n,3,7,3,False,0,-5.475825497445193,5.475825497445193
93,abdraengen,2,&pdrEN@n,3,8,3,False,0,-5.499918156065671,5.499918156065671
94,abdrehen,2,&pdre@n,3,7,3,False,0,-5.312967480472995,5.312967480472995
95,abdreschen,2,&pdrES@n,3,8,3,False,0,-5.551040660952846,5.551040660952846
96,Abdrift,2,&pdrIft,2,7,2,False,0,-5.491872782862844,5.491872782862844
97,abdrosseln,2,&pdrOs@ln,3,9,3,False,0,-6.096004023659357,6.096004023659357
98,abdruecken,2,&pdrYk@n,3,8,3,False,0,-5.75057352765386,5.75057352765386
99,abdrucken,2,&pdrUk@n,3,8,3,False,0,-5.0846158429375485,5.0846158429375485
100,Abdruck,1,&pdrUk,2,6,2,False,0,-4.29468631305014,4.29468631305014
101,abducken,2,&pdUk@n,3,7,3,False,0,-5.0886477715100416,5.0886477715100416
102,Abduktion,2,&pdUk=ion,4,9,4,False,0,-4.846019684292115,4.846019684292115
103,Abduktor,2,&pdUktOr,3,8,3,False,0,-5.872791490952187,5.872791490952187
104,abduzieren,2,&pdu=ir@n,4,9,4,False,0,-5.138485319928975,5.138485319928975
105,abebben,2,&pEb@n,3,6,3,False,0,-5.202336039430409,5.202336039430409
106,abeisen,2,&pWz@n,3,6,3,False,0,-5.764796314008864,5.764796314008864
107,Abend,1,ab@nt,2,5,2,False,0,-3.9168909741608777,3.9168909741608777
108,Abendanzug,2,ab@nt&n=uk,4,10,4,False,0,-8.591523076271132,8.591523076271132
109,Abendbrot,2,ab@ntbrot,3,9,3,False,0,-7.27798088270405,7.27798088270405
110,Abenddaemmerung,2,ab@ntdEm@rUN,5,12,5,False,0,-8.04296970515118,8.04296970515118
111,abendelang,3,ab@nd@l&N,4,9,4,False,0,-10.038432159009634,10.038432159009634
112,Abendessen,2,ab@ntEs@n,4,9,4,False,0,-7.707152694141702,7.707152694141702
113,abendfuellend,2,ab@ntfYl@nt,4,11,4,False,0,-8.547351720736335,8.547351720736335
114,Abendgymnasium,2,ab@ntgYmnaziUm,6,14,6,False,0,-8.127985143885956,8.127985143885956
115,Abendkleid,2,ab@ntklWt,3,9,3,False,0,-6.511285346857545,6.511285346857545
116,Abendkurs,2,ab@ntkUrs,3,9,3,False,0,-6.37513901577121,6.37513901577121
117,Abendkursus,2,ab@ntkUrzUs,4,11,4,False,0,-6.921480585731688,6.921480585731688
118,Abendland,2,ab@ntl&nt,3,9,3,False,0,-7.910831326762105,7.910831326762105
119,Abendlaender,2,ab@ntlEnd@r,4,11,4,False,0,-7.547315034451042,7.547315034451042
120,abendlaendisch,2,ab@ntlEndIS,4,11,4,False,0,-8.057638823429892,8.057638823429892
121,abendlich,2,ab@ntlIx,3,8,3,False,0,-5.126222368353631,5.126222368353631
122,Abendmahl,2,ab@ntmal,3,8,3,False,0,-6.490147197325399,6.490147197325399
123,Abendprogramm,2,ab@ntprogr&m,4,12,4,False,0,-7.609981757832108,7.609981757832108
124,Abendrot,2,ab@ntrot,3,8,3,False,0,-7.75349162055832,7.75349162055832
125,Abendroete,2,ab@ntr7t@,4,9,3,False,0,-7.622188551157805,7.622188551157805
126,abends,1,ab@n=,2,5,2,False,0,-5.225654528652668,5.225654528652668
127,abenteuern,1,ab@ntX@rn,4,9,4,False,0,-5.655065026758877,5.655065026758877
128,Abenteuer,1,ab@ntX@r,4,8,4,False,0,-5.442593459586257,5.442593459586257
129,Abenteuerin,2,ab@ntX@rIn,5,10,5,False,0,-7.113513492228889,7.113513492228889
130,abenteuerlich,2,ab@ntX@rlIx,5,11,5,False,0,-6.875999892753571,6.875999892753571
131,Abenteuerlust,2,ab@ntX@rlUst,5,12,5,False,0,-8.225713355226135,8.225713355226135
132,Abenteurer,2,ab@ntXr@r,4,9,4,False,0,-6.162641508311093,6.162641508311093
133,Abenteurerin,2,ab@ntXr@rIn,5,11,5,False,0,-6.471523840732669,6.471523840732669
134,aber,1,ab@r,2,4,2,False,1,-4.137375630552078,4.137375630552078
135,aber,1,ab@r,2,4,2,False,1,-4.137375630552078,4.137375630552078
136,Aberglaube,2,ab@rglBb@,4,9,4,False,0,-7.143929690252803,7.143929690252803
137,Aberglauben,2,ab@rglBb@n,4,10,4,False,0,-7.115066362418602,7.115066362418602
138,aberglaeubig,2,ab@rglXbIx,4,10,4,False,0,-6.747627670346117,6.747627670346117
139,aberglaeubisch,2,ab@rglXbIS,4,10,4,False,0,-8.012741354262907,8.012741354262907
140,aberhundert,2,ab@rhUnd@rt,4,11,4,False,0,-9.099349760592492,9.099349760592492
141,aberkennen,2,&pErkEn@n,4,9,4,False,0,-5.7610488431811815,5.7610488431811815
142,Aberkennung,2,&pErkEnUN,4,9,4,False,0,-5.736389862634386,5.736389862634386
143,abermalig,3,ab@rmalIx,4,9,4,False,0,-7.365277073495773,7.365277073495773
144,abermals,3,ab@rmals,3,8,3,False,0,-7.467739148783321,7.467739148783321
145,Aberration,0,&pEr&=ion,5,9,5,False,0,-5.548876732371806,5.548876732371806
146,abertausend,2,ab@rtBz@nt,4,10,4,False,0,-8.161440038732689,8.161440038732689
147,Aberwitz,2,ab@rvI=,3,7,3,False,0,-6.9318833048446695,6.9318833048446695
148,aberwitzig,2,ab@rvI=Ix,4,9,4,False,0,-6.872292375997833,6.872292375997833
149,abessen,2,&pEs@n,3,6,3,False,0,-5.151700615089164,5.151700615089164
150,abessinisch,2,&bEsinIS,4,8,4,False,0,-6.164927632865002,6.164927632865002
151,abfackeln,2,&pf&k@ln,3,8,3,False,0,-5.866866211787827,5.866866211787827
152,abfaedeln,2,&pf9d@ln,3,8,2,False,0,-5.482905325259261,5.482905325259261
153,abfahren,2,&pfar@n,3,7,3,False,0,-4.976360798131968,4.976360798131968
154,Abfahrt,1,&pfart,2,6,2,False,0,-4.739809506751741,4.739809506751741
155,Abfahrtszeit,3,&pfar==Wt,3,9,3,False,0,-6.730560943993109,6.730560943993109
156,abfallen,2,&pf&l@n,3,7,3,False,0,-5.069704161861723,5.069704161861723
157,Abfall,1,&pf&l,2,5,2,False,0,-4.330779898094924,4.330779898094924
158,Abfalleimer,2,&pf&lWm@r,4,9,4,False,0,-6.072926664285463,6.072926664285463
159,abfaellig,2,&pfElIx,3,7,3,False,0,-5.255300018117032,5.255300018117032
160,Abfallprodukt,2,&pf&lprodUkt,4,12,4,False,0,-7.154036695859505,7.154036695859505
161,abfaelschen,2,&pfElS@n,3,8,3,False,0,-5.722065500561765,5.722065500561765
162,abfangen,2,&pf&N@n,3,7,3,False,0,-5.320132644256771,5.320132644256771
163,abfaerben,2,&pfErb@n,3,8,3,False,0,-6.8419859095752695,6.8419859095752695
164,abfasen,2,&pfaz@n,3,7,3,False,0,-6.177362166267014,6.177362166267014
165,abfassen,2,&pf&s@n,3,7,3,False,0,-5.147961821364092,5.147961821364092
166,Abfassung,2,&pf&sUN,3,7,3,False,0,-5.160875680632485,5.160875680632485
167,abfaulen,2,&pfBl@n,3,7,3,False,0,-5.553559118439595,5.553559118439595
168,abfedern,2,&pfed@rn,3,8,3,False,0,-6.1548804321104615,6.1548804321104615
169,abfeilen,2,&pfWl@n,3,7,3,False,0,-5.403250782764037,5.403250782764037
170,abfertigen,2,&pfErtIg@n,4,10,4,False,0,-5.8053500481700935,5.8053500481700935
171,Abfertigung,2,&pfErtIgUN,4,10,4,False,0,-5.644977914580128,5.644977914580128
172,abfeuern,2,&pfX@rn,3,7,3,False,0,-6.1493468505712325,6.1493468505712325
173,abfieren,2,&pfir@n,3,7,3,False,1,-5.199324791536014,5.199324791536014
174,abfinden,2,&pfInd@n,3,8,3,False,0,-5.2414093609883485,5.2414093609883485
175,Abfindung,2,&pfIndUN,3,8,3,False,0,-5.51999333873902,5.51999333873902
176,Abfindungssumme,3,&pfIndUNszUm@,5,13,5,False,0,-8.682716834934388,8.682716834934388
177,abflachen,2,&pfl&x@n,3,8,3,False,0,-5.717385157831888,5.717385157831888
178,abflauen,1,&pflB@n,3,7,3,False,0,-5.420938511540366,5.420938511540366
179,abfliegen,2,&pflig@n,3,8,3,False,0,-5.179432819252347,5.179432819252347
180,abfliessen,2,&pflis@n,3,8,3,False,0,-5.018510015515845,5.018510015515845
181,Abflug,1,&pfluk,2,6,2,False,0,-5.4971885622456,5.4971885622456
182,Abfluss,1,&pflUs,2,6,2,False,0,-4.990438849870094,4.990438849870094
183,Abflusshahn,2,&pflUshan,3,9,3,False,0,-6.681241405770322,6.681241405770322
184,Abfolge,2,&pfOlg@,3,7,3,False,0,-5.511829397963584,5.511829397963584
185,abfotografieren,2,&pfotogr&fir@n,6,14,6,False,1,-7.256835986579678,7.256835986579678
186,abfragen,2,&pfrag@n,3,8,3,False,0,-5.31570725296623,5.31570725296623
187,abfressen,2,&pfrEs@n,3,8,3,False,0,-5.533920520405534,5.533920520405534
188,abfretten,2,&pfrEt@n,3,8,3,False,0,-5.630434031329513,5.630434031329513
189,abfrieren,2,&pfrir@n,3,8,3,False,0,-5.046091824320836,5.046091824320836
190,abfrottieren,2,&pfrOtir@n,4,10,4,False,0,-5.850796495085491,5.850796495085491
191,abfuehlen,2,&pfyl@n,3,7,3,False,0,-5.084825404883915,5.084825404883915
192,abfuehren,2,&pfyr@n,3,7,3,False,0,-5.334231858695093,5.334231858695093
193,Abfuhr,1,&pfur,2,5,2,False,0,-4.934240864732903,4.934240864732903
194,Abfuehrmittel,2,&pfyrmIt@l,4,10,4,False,0,-6.315627194407031,6.315627194407031
195,Abfuehrung,2,&pfyrUN,3,7,3,False,0,-4.742207576267154,4.742207576267154
196,abfuellen,2,&pfYl@n,3,7,3,False,0,-5.167757226888168,5.167757226888168
197,abfuettern,2,&pfYt@rn,3,8,3,False,0,-5.162937596139335,5.162937596139335
198,Abfuetterung,2,&pfYt@rUN,4,9,4,False,0,-5.337091246126769,5.337091246126769
199,Abgabe,1,&pgab@,3,6,3,False,0,-4.302565510441097,4.302565510441097
200,abgabenfrei,3,&pgab@nfrW,4,10,4,False,0,-7.924414508674518,7.924414508674518
201,abgabenpflichtig,4,&pgab@n8lIxtIx,5,14,5,False,0,-8.979304122686054,8.979304122686054
202,Abgabesoll,2,&pgab@zOl,4,9,4,False,0,-7.711874735375772,7.711874735375772
203,Abgang,1,&pg&N,2,5,2,False,0,-4.931975303161947,4.931975303161947
204,Abgaenger,2,&pgEN@r,3,7,3,False,0,-4.827427301489415,4.827427301489415
205,abgaengig,2,&pgENIx,3,7,3,False,0,-5.0551657419108285,5.0551657419108285
206,Abgangszeugnis,3,&pg&Ns=XknIs,4,12,4,False,0,-6.902834736747122,6.902834736747122
207,Abgas,2,&pgas,2,5,2,False,0,-4.815035458660239,4.815035458660239
208,abgasfrei,2,&pgasfrW,3,8,3,False,0,-5.973299004623025,5.973299004623025
209,abgeben,2,&pgeb@n,3,7,3,False,0,-5.742672374691608,5.742672374691608
210,abgeblasst,1,&pg@bl&st,3,9,3,False,0,-7.418069402096082,7.418069402096082
211,abgebrannt,1,&pg@br&nt,3,9,3,False,0,-6.007469251262833,6.007469251262833
212,abgebrueht,1,&pg@bryt,3,8,3,False,0,-7.031600655181342,7.031600655181342
213,abgedroschen,1,&pg@drOS@n,4,10,4,False,0,-7.039218874528698,7.039218874528698
214,abgefeimt,1,&pg@fWmt,3,8,3,False,0,-5.193126624429835,5.193126624429835
215,Abgefeimtheit,2,&pg@fWmthWt,4,11,4,False,0,-5.684492016006615,5.684492016006615
216,abgegriffen,1,&pg@grIf@n,4,10,4,False,0,-6.351151769739336,6.351151769739336
217,abgehen,2,&pge@n,3,6,3,False,0,-4.732067971265083,4.732067971265083
218,abgehackt,1,&pg@h&kt,3,8,3,False,0,-5.8104834372727066,5.8104834372727066
219,abgekaempft,1,&pg@kEm8t,3,9,3,False,0,-5.955122206400402,5.955122206400402
220,abgekartet,1,&pg@k&rt@t,4,10,4,False,0,-6.649538297035007,6.649538297035007
221,abgeklaert,1,&pg@klErt,3,9,3,False,0,-5.635320732156082,5.635320732156082
222,Abgeklaertheit,2,&pg@klErthWt,4,12,4,False,0,-6.459789083852691,6.459789083852691
223,Abgeld,2,&pgElt,2,6,2,False,0,-4.553204864156655,4.553204864156655
224,abgelebt,1,&pg@lept,3,8,3,False,0,-6.051021561274475,6.051021561274475
225,abgeledert,1,&pg@led@rt,4,10,4,False,0,-7.965691305294667,7.965691305294667
226,abgelegen,1,&pg@leg@n,4,9,4,False,0,-5.340737307982505,5.340737307982505
227,abgeleiert,1,&pg@lW@rt,4,9,4,False,0,-7.371247238787117,7.371247238787117
228,abgelten,2,&pgElt@n,3,8,3,False,0,-6.238644194021621,6.238644194021621
229,Abgeltung,2,&pgEltUN,3,8,3,False,0,-6.052180031844172,6.052180031844172
230,abgemacht,1,&pg@m&xt,3,8,3,False,0,-5.724322141807356,5.724322141807356
231,abgemessen,1,&pg@mEs@n,4,9,4,False,0,-5.959750810793054,5.959750810793054
232,abgeneigt,1,&pg@nWkt,3,8,3,False,0,-5.80548937042491,5.80548937042491
233,abgenutzt,1,&pg@nU=t,3,8,3,False,0,-6.089875265335133,6.089875265335133
234,abgeordnet,1,&pg@Ordn@t,4,10,4,False,0,-5.887723812011838,5.887723812011838
235,Abgeordnete,1,&pg@Ordn@t@,5,11,5,False,0,-6.28080786700471,6.28080786700471
236,Abgeordnetenhaus,3,&pg@Ordn@t@nhBs,6,15,6,False,0,-8.221307131997191,8.221307131997191
237,abgerissen,1,&pg@rIs@n,4,9,4,False,0,-7.040380383000486,7.040380383000486
238,abgerundet,1,&pg@rUnd@t,4,10,4,False,0,-8.866505202876036,8.866505202876036
239,abgesagt,1,&pg@zakt,3,8,3,False,0,-5.198457307310658,5.198457307310658
240,Abgesandte,2,&pg@z&nt@,4,9,4,False,0,-6.867509528421856,6.867509528421856
241,Abgesang,2,&pg@z&N,3,7,3,False,0,-4.813064493106592,4.813064493106592
242,abgeschabt,1,&pg@Sapt,3,8,3,False,0,-5.556426263295814,5.556426263295814
243,abgeschieden,1,&pg@Sid@n,4,9,4,False,0,-4.9411305109147605,4.9411305109147605
244,Abgeschiedenheit,2,&pg@Sid@nhWt,5,12,5,False,0,-5.659135812622666,5.659135812622666
245,abgeschlagen,1,&pg@Slag@n,4,10,4,False,0,-6.38417801828585,6.38417801828585
246,abgeschlossen,1,&pg@SlOs@n,4,10,4,False,0,-5.843627639264496,5.843627639264496
247,abgeschmackt,1,&pg@Sm&kt,3,9,3,False,0,-6.376016656935263,6.376016656935263
248,Abgeschmacktheit,2,&pg@Sm&kthWt,4,12,4,False,0,-6.45319909819966,6.45319909819966
249,abgesehen,1,&pg@ze@n,4,8,4,False,0,-5.060626380583655,5.060626380583655
250,abgesondert,1,&pg@zOnd@rt,4,11,4,False,0,-6.80308023392896,6.80308023392896
251,abgespannt,1,&pg@Sp&nt,3,9,3,False,0,-6.820366847762122,6.820366847762122
252,abgespielt,1,&pg@Spilt,3,9,3,False,0,-7.419641830575643,7.419641830575643
253,abgestanden,1,&pg@St&nd@n,4,11,4,False,0,-7.237319459324775,7.237319459324775
254,abgestorben,1,&pg@StOrb@n,4,11,4,False,0,-7.166863526618246,7.166863526618246
255,abgestossen,1,&pg@Stos@n,4,10,4,False,0,-6.741156009281994,6.741156009281994
256,abgestuft,1,&pg@Stuft,3,9,3,False,0,-7.847375325221038,7.847375325221038
257,abgestumpft,1,&pg@StUm8t,3,10,3,False,0,-7.53642970855524,7.53642970855524
258,Abgestumpftheit,2,&pg@StUm8thWt,4,13,4,False,0,-7.862714331487776,7.862714331487776
259,abgetakelt,1,&pg@tak@lt,4,10,4,False,0,-7.480331616457927,7.480331616457927
260,abgetan,1,&pg@tan,3,7,3,False,0,-4.666944971516468,4.666944971516468
261,abgetragen,1,&pg@trag@n,4,10,4,False,0,-7.089572905272367,7.089572905272367
262,abgewinnen,2,&pg@vIn@n,4,9,4,False,0,-6.148571794881939,6.148571794881939
263,abgewogen,1,&pg@vog@n,4,9,4,False,0,-5.218856139175697,5.218856139175697
264,Abgewogenheit,2,&pg@vog@nhWt,5,12,5,False,0,-6.123810970386842,6.123810970386842
265,abgewoehnen,2,&pg@v7n@n,4,9,3,False,0,-5.377406250131964,5.377406250131964
266,abgezogen,1,&pg@=og@n,4,9,4,False,0,-5.1081492251173,5.1081492251173
267,abgiessen,2,&pgis@n,3,7,3,False,0,-5.311533622572027,5.311533622572027
268,Abglanz,2,&pgl&n=,2,7,2,False,0,-5.76599667389833,5.76599667389833
269,abgleichen,2,&pglWx@n,3,8,3,False,0,-5.57191013368183,5.57191013368183
270,abgleiten,2,&pglWt@n,3,8,3,False,0,-5.745666317804288,5.745666317804288
271,abglitschen,2,&pglItS@n,3,9,3,False,0,-5.881131134775888,5.881131134775888
272,Abgott,2,&pgOt,2,5,2,False,0,-4.931975303161947,4.931975303161947
273,Abgoetterei,2,&pg/t@rW,4,8,4,False,0,-5.6930296641540465,5.6930296641540465
274,abgoettisch,2,&pg/tIS,3,7,3,False,0,-5.426097295638372,5.426097295638372
275,Abgottschlange,2,&pgOtSl&N@,4,10,4,False,0,-6.543198622653843,6.543198622653843
276,abgraben,2,&pgrab@n,3,8,3,False,0,-5.622324105231,5.622324105231
277,abgrasen,2,&pgraz@n,3,8,3,False,0,-5.509045248357542,5.509045248357542
278,abgraetschen,2,&pgr9tS@n,3,9,2,False,0,-5.78066280823012,5.78066280823012
279,abgreifen,2,&pgrWf@n,3,8,3,False,0,-5.401229358796533,5.401229358796533
280,abgrenzen,2,&pgrEn=@n,3,9,3,False,0,-5.556132811793494,5.556132811793494
281,Abgrenzung,2,&pgrEn=UN,3,9,3,False,0,-6.085006465658379,6.085006465658379
282,Abgrund,2,&pgrUnt,2,7,2,False,0,-5.420462918081615,5.420462918081615
283,abgruendig,2,&pgrYndIx,3,9,3,False,0,-6.215151496378004,6.215151496378004
284,abgrundtief,2,&pgrUnttif,3,10,3,False,0,-7.528582796787054,7.528582796787054
285,abgucken,2,&pgUk@n,3,7,3,False,0,-5.089741059165792,5.089741059165792
286,Abguss,1,&pgUs,2,5,2,False,0,-5.022063710022679,5.022063710022679
287,abhaben,2,&phab@n,3,7,3,False,0,-5.463644289046785,5.463644289046785
288,abhacken,2,&ph&k@n,3,7,3,False,0,-5.192328493911451,5.192328493911451
289,abhaken,2,&phak@n,3,7,3,False,0,-5.112128337416497,5.112128337416497
290,abhaekeln,2,&ph9k@ln,3,8,2,False,0,-5.393006758262712,5.393006758262712
291,abhalftern,2,&ph&lft@rn,3,10,3,False,0,-6.505132481219076,6.505132481219076
292,abhalten,2,&ph<@n,3,6,2,False,0,-4.830582461173271,4.830582461173271
293,Abhaltung,2,&ph<UN,3,6,2,False,0,-5.344496795622998,5.344496795622998
294,abhandeln,2,&ph&nd@ln,3,9,3,False,0,-5.724183696909977,5.724183696909977
295,abhanden,3,&ph&nd@n,3,8,3,False,0,-5.753417330668103,5.753417330668103
296,Abhandlung,2,&ph&ndlUN,3,9,3,False,0,-4.90389779970674,4.90389779970674
297,abhaengen,2,&phEN@n,3,7,3,False,0,-5.304070634109501,5.304070634109501
298,Abhang,2,&ph&N,2,5,2,False,0,-4.953662700463425,4.953662700463425
299,abhaengig,2,&phENIx,3,7,3,False,0,-4.105386178230658,4.105386178230658
300,Abhaengigkeit,2,&phENIxkWt,4,10,4,False,0,-4.811986437656793,4.811986437656793
